Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Arab World,ARB,GDP per capita (current US$),250.488642921233,283.248047195142,328.692870442334,406.804635078943,758.562998299769,817.393646819572,987.361287760317,1102.24447862286,1179.93280925045,1541.24270686038,2031.55617668762,2027.453299787,1832.99519201058,1668.70037275206,1643.09668062749,1576.15659651285,1458.15664025557,1534.87795836934,1468.68742200848,1500.16019765564,2003.98807066821,1920.27176853038,2021.38094260663,1993.52388708336,1990.61953644795,2076.0083285589,2244.60803746238,2332.13534475938,2204.17253413464,2332.06434216217,2615.68275104314,2515.07786947657,2499.33542907769,2754.30498533827,3168.18642604039,3796.02180432683,4414.09339806809,5046.8170582622,6255.76115611177,5267.55256330243,6032.96195685802,7005.47954059534,7571.40240297227,7715.99867662883
Arab World,ARB,"GDP, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,1432608122956.14,1448127560304.69,1555509072305.34,1653813930696.07,1743414946966.97,1830440501399.97,1955730699973.58,2094466377471.38,2241566972899.84,2353191109914.93,2523212901692.12,2644194929705.5,2721095302468.55,2871733896687.18,3231080205381.27,3533459976868.22,3894656937884.3,4222431186039.38,4567156807137.2,4711255373946.63,5022945300498.84,5265229762090.07,5696576524529.13,5935614052960.73
Arab World,ARB,GNI (current US$),41158080542.1101,48423148090.064,58545161000.9338,72151597764.5454,141596996899.65,159763981396.832,196739859493.114,224323119993.092,251064609868.233,335087152426.495,449504973851.332,483061288340.819,446917022039.744,425650745058.898,420998320550.115,411588899403.932,400249257492.386,423718150131.719,406908709721.185,422296242388.703,463718589711.446,445713129655.803,477140003613.136,482152679641.465,490822835147.554,535605646653.716,589854235845.334,624913394008.055,608203146159.522,646742510108.125,723724456275.206,713173074279.29,722708131306.952,807409675210.877,953084705397.39,1174100050619.65,1408716472103.36,1653940120226.99,2086352567191.86,1784155801685.87,2072483536406.82,2515668708600.08,2755869171282.75,2846448018088.26
Arab World,ARB,"GNI per capita, Atlas method (current US$)",327.231428876266,362.069611672852,432.012748857529,510.427899024091,746.961614500276,1020.80620169306,1341.48798787577,1424.88285812273,1563.00263961062,1931.36833477903,2350.69210544353,2702.05560542452,2595.42920491792,2342.33833190036,2189.34028900721,2089.36825108786,2137.65561601165,2166.70432943559,2178.20407762604,2103.04807294828,2057.90019619985,2096.83314730574,2177.98196294731,2090.63098194459,2073.08433816307,2112.06208567286,2218.54598704975,2307.48976295542,2298.36519331938,2285.17467126742,2388.34288271471,2472.83129971528,2466.77931049871,2642.99765530042,3035.76807698685,3497.48312518786,4112.09515614157,4730.93960579129,5546.40624407302,5640.07546461051,5913.74479400922,6305.64406388715,7196.53273639369,
Arab World,ARB,"GNI per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,6580.70871220527,6929.79635485625,7219.50154973159,7357.16138364647,7488.24219858582,7654.71247253911,7943.2930980895,8259.78772727068,8551.74571789955,8612.36720663019,8966.47602844372,9224.63268282635,9256.85010909007,9831.65438033988,10590.8963362915,11369.4765803389,12356.8419034944,13132.7088153614,13824.4856840007,13852.5027834217,14284.0231771696,14996.1560339432,15846.498202267,16141.5602516837
Arab World,ARB,"GNI, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,1457549939396.57,1576325703924.36,1670903147711.04,1746725749104.94,1821676316378.35,1917539323509.6,2032946972032.89,2157954140495.37,2279361420285.9,2341814414784.36,2488747845750.23,2615119614144.8,2681533300232.12,2911112994660.13,3207184751587.06,3522541066536.45,3918673213480.23,4264105163475.12,4595603160459.47,4711915495673.22,4967083881784.26,5325690585241.99,5743826784830.3,5968527902258.82
Arab World,ARB,Government expenditure in educational institutions as % of GDP (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Gross enrolment ratio, lower secondary, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,59.0942115783691,59.0732917785645,60.0885581970215,61.9051208496094,63.996639251709,66.7359237670898,68.4610137939453,69.7278594970703,71.0936126708984,72.7717895507813,74.4625015258789,75.6270523071289,76.4925689697266,76.1101226806641,77.6806411743164,80.9981231689453,81.2611312866211,82.2045516967773,82.5439605712891,79.9526977539063
Arab World,ARB,"Gross enrolment ratio, lower secondary, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,72.4396286010742,72.1521301269531,72.901969909668,73.8259963989258,75.5743865966797,78.0353088378906,79.5282135009766,80.4639129638672,82.8367004394531,81.8258590698242,83.9246292114258,84.2755279541016,84.6561279296875,83.5754089355469,85.6561889648438,89.5922927856445,90.0585174560547,90.7874984741211,90.9178695678711,87.9831237792969
Arab World,ARB,"Gross enrolment ratio, post-secondary non-tertiary, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
